State,Crude Rate,Population,Centers
AL,17.15,4874747,133
AK,27.03,739795,80
AZ,18.91,7016270,305
AR,21.0,3004279,204
CA,10.91,39536653,670
CO,21.06,5607154,150
CT,11.29,3588184,205
DE,11.64,961939,23
DC,6.77,693972,36
FL,15.38,20984400,408
GA,13.91,10429379,185
HI,15.9,1427538,37
ID,22.83,1716943,168
IL,11.51,12802023,327
IN,16.38,6666818,262
IA,15.23,3145711,130
KS,18.98,2913123,99
KY,17.29,4454189,201
LA,15.37,4684333,164
ME,20.51,1335907,172
MD,10.41,6052177,247
MA,9.94,6859819,266
MI,14.63,9962311,304
MN,14.04,5576606,201
MS,14.91,2984100,143
MO,18.83,6113532,190
MT,29.61,1050493,70
NE,14.32,1920076,109
NV,20.91,2998039,46
NH,19.73,1342795,48
NJ,8.83,9005644,256
NM,23.51,2088070,60
NY,8.54,19849399,723
NC,14.81,10273419,252
ND,20.39,755393,28
OH,14.92,11658609,511
OK,19.23,3930864,131
OR,19.91,4142776,115
PA,15.85,12805537,508
RI,12.17,1059639,52
SC,16.68,5024369,96
SD,21.96,869666,43
TN,17.36,6715984,231
TX,13.35,28304596,306
UT,21.37,3101833,96
VT,17.96,623657,56
VA,13.92,8470020,226
WA,17.51,7405743,231
WV,21.64,1815857,106
WI,15.98,5795483,359
WY,27.1,579315,46
